NAICS  Code,Adjustments,Kind of Business,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL
,Not Adjusted,"Retail and food services sales, total",421943.0,418315.0,483082.0,465788.0,494621.0,481729.0,475374.0,490324.0,469710.0,476014.0,497748.0,558215.0,5732863.0
,Not Adjusted,Retail sales and food services excl motor vehicle and parts,336756.0,328901.0,376796.0,368476.0,388989.0,379136.0,373146.0,385526.0,369739.0,378618.0,402994.0,458090.0,4547167.0
,Not Adjusted,Retail sales and food services excl gasoline stations,386019.0,384105.0,443979.0,426328.0,453329.0,441236.0,435163.0,448690.0,428033.0,434050.0,457507.0,518272.0,5256711.0
,Not Adjusted,Retail sales and food services excl motor vehicle and parts and gasoline stations,300832.0,294691.0,337693.0,329016.0,347697.0,338643.0,332935.0,343892.0,328062.0,336654.0,362753.0,418147.0,4071015.0
,Not Adjusted,"Retail sales, total",368960.0,365480.0,422891.0,407165.0,434450.0,423034.0,416900.0,431822.0,412578.0,417830.0,442077.0,497027.0,5040214.0
,Not Adjusted,"Retail sales, total (excl. motor vehicle and parts dealers)",283773.0,276066.0,316605.0,309853.0,328818.0,320441.0,314672.0,327024.0,312607.0,320434.0,347323.0,396902.0,3854518.0
,Not Adjusted,GAFO(1),89665.0,90295.0,103318.0,100738.0,104278.0,103200.0,102606.0,108670.0,100576.0,102945.0,118959.0,149727.0,1274977.0
441,Not Adjusted,Motor vehicle and parts dealers,85187.0,89414.0,106286.0,97312.0,105632.0,102593.0,102228.0,104798.0,99971.0,97396.0,94754.0,100125.0,1185696.0
"4411,4412",Not Adjusted,Automobile and other motor vehicle dealers,78171.0,82482.0,97923.0,89632.0,97493.0,94441.0,94321.0,96524.0,92143.0,89438.0,86977.0,92708.0,1092253.0
4411,Not Adjusted,Automobile dealers,74592.0,77677.0,91087.0,82252.0,89606.0,86383.0,87356.0,89966.0,86444.0,84382.0,82631.0,88211.0,1020587.0
44111,Not Adjusted,New car dealers,65936.0,67908.0,79946.0,72863.0,79723.0,76450.0,77677.0,80177.0,77024.0,75083.0,73878.0,79822.0,906487.0
44112,Not Adjusted,Used car dealers,8656.0,9769.0,11141.0,9389.0,9883.0,9933.0,9679.0,9789.0,9420.0,9299.0,8753.0,8389.0,114100.0
4413,Not Adjusted,"Automotive parts, acc., and tire stores",7016.0,6932.0,8363.0,7680.0,8139.0,8152.0,7907.0,8274.0,7828.0,7958.0,7777.0,7417.0,93443.0
"442,443",Not Adjusted,"Furniture, home furn, electronics, and appliance stores",15441.0,15096.0,17310.0,15399.0,16729.0,16749.0,16467.0,17501.0,16970.0,16815.0,20405.0,22851.0,207733.0
442,Not Adjusted,Furniture and home furnishings stores,8407.0,8377.0,9815.0,8726.0,9574.0,9522.0,9396.0,10033.0,9676.0,9647.0,10702.0,11434.0,115309.0
4421,Not Adjusted,Furniture stores,4646.0,4757.0,5476.0,4749.0,5140.0,5084.0,5104.0,5229.0,5189.0,5050.0,5464.0,5400.0,61288.0
4422,Not Adjusted,Home furnishings stores,3761.0,3620.0,4339.0,3977.0,4434.0,4438.0,4292.0,4804.0,4487.0,4597.0,5238.0,6034.0,54021.0
44221,Not Adjusted,Floor covering stores,1459.0,1510.0,,,,,,,,,,,
442299,Not Adjusted,All other home furnishings stores,2181.0,1980.0,2317.0,2117.0,2401.0,2308.0,2319.0,2564.0,2299.0,2338.0,3046.0,4006.0,29876.0
443,Not Adjusted,Electronics and appliance stores,7034.0,6719.0,7495.0,6673.0,7155.0,7227.0,7071.0,7468.0,7294.0,7168.0,9703.0,11417.0,92424.0
443141,Not Adjusted,Household appliance stores,1302.0,1290.0,1493.0,1350.0,1453.0,1448.0,1396.0,1387.0,1385.0,1360.0,1510.0,1432.0,16806.0
443142,Not Adjusted,Electronics stores,5732.0,5429.0,6002.0,5323.0,5702.0,5779.0,5675.0,6081.0,5909.0,5808.0,8193.0,9985.0,75618.0
444,Not Adjusted,Building mat. and garden equip. and supplies dealers,22389.0,22494.0,29230.0,31259.0,35632.0,33437.0,30060.0,30304.0,28978.0,29672.0,29182.0,26728.0,349365.0
4441,Not Adjusted,Building mat. and supplies dealers,20256.0,19963.0,25217.0,25962.0,29761.0,28839.0,26497.0,27031.0,26017.0,26536.0,25953.0,23439.0,305471.0
44412,Not Adjusted,Paint and wallpaper stores,747.0,772.0,978.0,935.0,1082.0,1115.0,1044.0,1124.0,1015.0,1039.0,897.0,788.0,11536.0
44413,Not Adjusted,Hardware stores,1781.0,1696.0,2127.0,2208.0,2441.0,2392.0,2194.0,2248.0,2161.0,2264.0,2153.0,2226.0,25891.0
445,Not Adjusted,Food and beverage stores,57800.0,54492.0,60237.0,59605.0,62115.0,60545.0,61611.0,61414.0,60283.0,60762.0,62093.0,67886.0,728843.0
4451,Not Adjusted,Grocery stores,52552.0,49212.0,54366.0,53635.0,55709.0,54191.0,55159.0,55083.0,54142.0,54561.0,55443.0,59125.0,653178.0
44511,Not Adjusted,Supermarkets and other grocery (except convenience) stores,50497.0,47201.0,52090.0,51267.0,53223.0,51771.0,52679.0,52628.0,51676.0,52095.0,53089.0,56756.0,624972.0
4453,Not Adjusted,"Beer, wine, and liquor stores",3578.0,3606.0,4074.0,4077.0,4456.0,4482.0,4598.0,4452.0,4346.0,4343.0,4638.0,5972.0,52622.0
446,Not Adjusted,Health and personal care stores,25715.0,24718.0,27499.0,25819.0,27376.0,26848.0,25966.0,27609.0,26551.0,27761.0,27402.0,30602.0,323866.0
44611,Not Adjusted,Pharmacies and drug stores,21723.0,20599.0,22640.0,21612.0,23007.0,22345.0,21610.0,22820.0,21944.0,23386.0,22676.0,24692.0,269054.0
447,Not Adjusted,Gasoline stations,35924.0,34210.0,39103.0,39460.0,41292.0,40493.0,40211.0,41634.0,41677.0,41964.0,40241.0,39943.0,476152.0
448,Not Adjusted,Clothing and clothing access. stores,15907.0,18020.0,21332.0,21143.0,21945.0,20618.0,20795.0,22775.0,19909.0,20469.0,24560.0,33923.0,261396.0
4481,Not Adjusted,Clothing stores,11843.0,12703.0,15785.0,15683.0,16005.0,15397.0,15368.0,16356.0,14713.0,15361.0,18393.0,23501.0,191108.0
44811,Not Adjusted,Men's clothing stores,622.0,644.0,797.0,834.0,873.0,803.0,688.0,719.0,759.0,745.0,786.0,1026.0,9296.0
44812,Not Adjusted,Women's clothing stores,2373.0,2668.0,3364.0,3496.0,3487.0,3220.0,3083.0,3173.0,3007.0,3179.0,3638.0,4524.0,39212.0
44814,Not Adjusted,Family clothing stores,6024.0,6542.0,8372.0,8440.0,8623.0,8388.0,8711.0,9125.0,8079.0,8628.0,10639.0,13641.0,105212.0
44819,Not Adjusted,Other clothing stores,1502.0,1444.0,1579.0,1376.0,1479.0,1494.0,1385.0,1576.0,1362.0,1297.0,1513.0,1815.0,17822.0
4482,Not Adjusted,Shoe stores,2143.0,2674.0,3233.0,3076.0,2918.0,2765.0,2976.0,3925.0,2754.0,2646.0,3078.0,4144.0,36332.0
44831,Not Adjusted,Jewelry stores,1742.0,2435.0,2101.0,2172.0,2746.0,2237.0,2204.0,2263.0,2215.0,2231.0,2810.0,5832.0,30988.0
451,Not Adjusted,"Sporting goods, hobby, musical instrument, and book stores",6215.0,5549.0,6623.0,6339.0,6552.0,6716.0,6499.0,7639.0,6722.0,6349.0,7794.0,10899.0,83896.0
45111,Not Adjusted,Sporting goods stores,2955.0,3030.0,3780.0,3645.0,3802.0,4108.0,3916.0,4225.0,3573.0,3402.0,3999.0,5530.0,45965.0
